ID,Name,Min. L. Price,Min. U. Price,Max. L. Price,Max. U. Price,Starting Price,Short Name,Group,Price Decay,Main Change,Group Change,Reset Interval
38565297-04c9-4a23-8e72-76b4613b2a88,Rødvin,28.0,33.0,48.0,53.0,43.0,RDVN,1,0.1,0.1,0.05,0.05
ae71cfbe-7d60-4ebc-9412-02a8c029d2f8,Hvidvin,28.0,33.0,48.0,53.0,43.0,HVVN,1,0.1,0.1,0.05,0.05
ee8df89b-cd35-4f6f-9adf-2684b79b4b82,Ale no. 16,37.0,45.0,60.0,65.0,55.0,ALES,2,0.1,0.1,0.05,0.05
36d0f8e4-f509-432b-a226-82069729bfc5,1664 Blanc,37.0,43.0,60.0,65.0,55.0,BLNC,2,0.1,0.1,0.05,0.05
0b04095d-071d-446c-8172-063407d7a518,Tuborg Fad,32.0,37.0,50,55.0,45.0,TBFD,2,0.1,0.1,0.05,0.05
36603ecf-2ebf-43d9-951f-26238a1df6f9,Classic Fad,32.0,35.0,50,55.0,45.0,CLFD,2,0.1,0.1,0.05,0.05
f3b19ec0-8c2a-43d2-b1eb-28e291b08c5b,Budvar Fad,37.0,45.0,50,55.0,45.0,BDVR,2,0.1,0.1,0.05,0.05
05800c60-421f-45a1-a29c-f69fc0f12d31,HawaiiBajer,51.0,56.0,70,80.0,70.0,HWBJ,3,0.1,0.1,0.05,0.05
aaa1c9b2-cdca-433b-b5ef-99a3efe51f20,SexyTime,51.0,56.0,70,80.0,70.0,SXTM,3,0.1,0.1,0.05,0.05
84d6a297-94e2-4848-bf23-0ad7ad1af52b,TøseMjød,51.0,56.0,70,80.0,70.0,TSMJ,3,0.1,0.1,0.05,0.05
053aac8c-a968-4182-853c-bc97b9e6776e,HoldMinKæft,51.0,56.0,70,80.0,70.0,HLMK,3,0.1,0.1,0.05,0.05
5461e147-ff33-47d2-9957-8ef02398402c,JordbærHjelm,51.0,56.0,70,80.0,70.0,JBHJ,3,0.1,0.1,0.05,0.05
8ff886d1-94ee-4f8b-9df8-4ca1edbbea1b,Screwdriver,51.0,56.0,70,80.0,70.0,SCDR,4,0.1,0.1,0.05,0.05
36d6a15d-6042-4922-a234-890b8e1bf43f,Esp. Martini,51.0,56.0,70,80.0,70.0,ESMT,4,0.1,0.1,0.05,0.05
ee38e3e0-4508-42a3-b9be-5ddad9a9b40a,Pikkoline,53.0,58.0,70,80.0,70.0,PKLN,4,0.1,0.1,0.05,0.05
4c9bbc68-ee38-4078-9e0a-49e963f46741,Gin & Tonic,50.0,55.0,70,80.0,70.0,WHKS,4,0.1,0.1,0.05,0.05
694e92ed-9546-4ea6-b681-6127cce37fc8,PukéMon,102.0,110.0,150.0,180.0,150.0,PKMN,5,0.1,0.1,0.05,0.05
2a422161-9254-4f81-bf21-a03932d9d09d,Long Island,78.0,85.0,110.0,140.0,125.0,LNGS,5,0.1,0.1,0.05,0.05
01a8a420-f78c-4680-b7be-7931eca7c620,Rom & Cola,50.0,55.0,80.0,90.0,75.0,OLFS,5,0.1,0.1,0.05,0.05
70f5a283-4014-4250-aad6-56a1bbc644f0,10 Kinderæg,115.0,125.0,200.0,230.0,200.0,KNDG,6,0.1,0.1,0.05,0.05
3ac67658-a463-43e1-9d32-6916d2adc1d5,10 Æbklekage,115.0,125.0,200.0,230.0,200.0,ÆBKG,6,0.1,0.1,0.05,0.05
13dda7ac-e12b-4788-b78d-86b21b4018a9,Tuborg fl,17.0,25,30.0,35.0,26.0,TBFL,7,0.1,0.1,0.05,0.05
09d24a1a-832c-4261-bd87-c789a79ec1a6,Tuborg cl.,17.0,25,30.0,35.0,26.0,TBFC,7,0.1,0.1,0.05,0.05
507acf91-bd6f-400e-97ea-f19f8a9fa043,Guld Tuborg,19.0,25,35.0,40.0,31.0,GLTB,7,0.1,0.1,0.05,0.05
9b31ed39-5ac7-43fd-9ca1-a4a5e938c68a,Leffe,27.0,43.0,45.0,50.0,40.0,LFFE,7,0.1,0.1,0.05,0.05
22abe462-f425-41dd-8733-f902e2966641,Ugly D IPA,31.0,36.0,50.0,55.0,45.0,UIPA,7,0.1,0.1,0.05,0.05
11706c29-0b1c-452d-9d54-9cdfe060137a,Fynsk Forår,30.0,35.0,50.0,55.0,45.0,FYFO,7,0.1,0.1,0.05,0.05
8e7b6db1-dc30-468f-a95f-70247b4bf3e1,Arnbitter,19.0,25.0,32.0,37.0,27.0,ARNE,8,0.1,0.1,0.05,0.05
061f6ec6-23fb-4a30-ae7d-cec7508f50c4,Underberg,19.0,25.0,40.0,45.0,30.0,UNBR,8,0.1,0.1,0.05,0.05
b0eeef54-254d-4dfb-93ab-9860132917d3,Sambucca,19.0,25.0,32.0,37.0,27.0,SMBC,8,0.1,0.1,0.05,0.05
